id,breed
2620,briard
23548,afghan hound
2277,papillon
6764,beagle
15578,great pyrenees
21884,brittany spaniel
563,flat-coated retriever
18062,welsh springer spaniel
23109,schipperke
21726,dhole
13030,eskimo dog
18810,brabancon griffon
3269,soft-coated wheaten terrier
11102,standard schnauzer
15197,boxer
4269,lhasa
14946,boxer
11733,irish wolfhound
14530,old english sheepdog
12049,cairn
22588,saint bernard
4796,entlebucher
23159,schipperke
11680,irish wolfhound
18109,dandie dinmont
3061,irish terrier
20039,rhodesian ridgeback
12138,shih-tzu
3913,japanese spaniel
6707,beagle
2297,papillon
2287,papillon
1727,mexican hairless
4740,entlebucher
6438,bull mastiff
13840,malinois
12277,saluki
2104,tibetan terrier
20034,norfolk terrier
8152,giant schnauzer
11399,malamute
17808,irish setter
6496,basenji
14405,clumber
22827,kuvasz
6279,bull mastiff
17283,chow
10330,french bulldog
1489,basset
16750,pomeranian
17198,chow
16850,airedale
5959,sealyham terrier
9654,scottish deerhound
23281,pembroke
17142,chow
9413,cocker spaniel
8872,walker hound
10147,norwegian elkhound
4219,lhasa
5616,toy terrier
13066,chesapeake bay retriever
13817,english setter
22793,kuvasz
22268,affenpinscher
22785,otterhound
17334,borzoi
9708,scottish deerhound
18986,golden retriever
15288,collie
11439,malamute
16044,greater swiss mountain dog
21596,newfoundland
13741,english setter
12612,whippet
3002,irish terrier
19191,curly-coated retriever
6800,beagle
18041,welsh springer spaniel
15297,collie
21627,dhole
14065,silky terrier
16250,american staffordshire terrier
7144,appenzeller
2344,black-and-tan coonhound
9508,cocker spaniel
22690,otterhound
1598,mexican hairless
10188,norwegian elkhound
16612,pomeranian
5871,sealyham terrier
9013,cardigan
17961,welsh springer spaniel
1826,staffordshire bullterrier
17589,irish water spaniel
7108,appenzeller
18151,dandie dinmont
6587,basenji
21875,brittany spaniel
4068,japanese spaniel
14500,old english sheepdog
2365,black-and-tan coonhound
3659,bernese mountain dog
16973,wire-haired fox terrier
7520,chihuahua
1330,bluetick
22728,otterhound
5216,great dane
16437,miniature poodle
12971,eskimo dog
4639,dingo
4783,entlebucher
286,bouvier des flandres
12093,shih-tzu
17901,welsh springer spaniel
13596,shetland sheepdog
15887,toy poodle
7864,german short-haired pointer
19978,norfolk terrier
12714,border terrier
8437,bedlington terrier
15029,boxer
17424,borzoi
10727,komondor
18652,miniature schnauzer
11493,pekinese
22862,kuvasz
6273,bull mastiff
13392,samoyed
11837,irish wolfhound
10925,labrador retriever
12275,saluki
1587,mexican hairless
16019,greater swiss mountain dog
18137,dandie dinmont
6080,doberman
1776,staffordshire bullterrier
1120,kelpie
7844,german short-haired pointer
23331,pembroke
910,standard poodle
10734,komondor
19720,english foxhound
17090,wire-haired fox terrier
9468,cocker spaniel
19282,border collie
21203,bloodhound
18059,welsh springer spaniel
2402,black-and-tan coonhound
19221,curly-coated retriever
22309,affenpinscher
17535,irish water spaniel
8386,bedlington terrier
21162,bloodhound
11179,standard schnauzer
2768,boston bull
23338,pembroke
954,standard poodle
21263,gordon setter
17841,irish setter
17489,borzoi
10491,french bulldog
3697,miniature pinscher
7188,appenzeller
20998,siberian husky
7477,chihuahua
15813,toy poodle
3986,japanese spaniel
18873,golden retriever
19707,english foxhound
10304,norwegian elkhound
13708,english setter
21436,newfoundland
5252,great dane
3872,miniature pinscher
14292,clumber
880,standard poodle
13950,malinois
10649,pug
388,bouvier des flandres
7934,german short-haired pointer
7797,german short-haired pointer
779,standard poodle
2421,black-and-tan coonhound
386,bouvier des flandres
12192,shih-tzu
8800,walker hound
10878,komondor
15172,boxer
13005,eskimo dog
21470,newfoundland
13076,chesapeake bay retriever
11677,irish wolfhound
22558,saint bernard
13114,chesapeake bay retriever
6652,beagle
17414,borzoi
422,flat-coated retriever
17475,borzoi
10739,komondor
19626,tibetan mastiff
14742,lakeland terrier
15782,african hunting dog
23166,schipperke
544,flat-coated retriever
10123,norwegian elkhound
18845,brabancon griffon
18107,dandie dinmont
11679,irish wolfhound
3292,vizsla
23335,pembroke
13365,samoyed
3752,miniature pinscher
10296,norwegian elkhound
22300,affenpinscher
13276,samoyed
5944,sealyham terrier
21527,newfoundland
5791,redbone
20622,maltese dog
10863,komondor
23012,schipperke
4591,dingo
2693,briard
18342,german shepherd
19983,norfolk terrier
13955,malinois
9592,scottish deerhound
18733,brabancon griffon
21645,dhole
1478,basset
16957,wire-haired fox terrier
13505,shetland sheepdog
23334,pembroke
23528,afghan hound
13606,shetland sheepdog
16610,pomeranian
20422,australian terrier
13934,malinois
15636,african hunting dog
1986,tibetan terrier
11847,irish wolfhound
17672,irish water spaniel
21680,dhole
12182,shih-tzu
20873,siberian husky
12623,whippet
3810,miniature pinscher
103,english springer
22093,ibizan hound
18269,dandie dinmont
11845,irish wolfhound
148,english springer
12368,saluki
13918,malinois
13396,samoyed
20979,siberian husky
22964,kuvasz
14859,boxer
9819,scotch terrier
1592,mexican hairless
10828,komondor
20454,maltese dog
18653,miniature schnauzer
4119,lhasa
8606,keeshond
757,west highland white terrier
10098,rottweiler
6697,beagle
8464,bedlington terrier
13837,malinois
17147,chow
279,bouvier des flandres
10340,french bulldog
13526,shetland sheepdog
1063,kelpie
5812,redbone
14412,old english sheepdog
10574,pug
21902,brittany spaniel
17866,irish setter
19379,border collie
6729,beagle
13466,shetland sheepdog
15469,great pyrenees
11604,pekinese
15841,toy poodle
18195,dandie dinmont
4240,lhasa
9390,cocker spaniel
7321,leonberg
987,kelpie
20149,rhodesian ridgeback
13328,samoyed
989,kelpie
2945,irish terrier
9265,blenheim spaniel
9881,scotch terrier
7149,appenzeller
8790,walker hound
19416,border collie
22034,ibizan hound
21629,dhole
8690,keeshond
12525,whippet
4115,lhasa
16946,wire-haired fox terrier
17271,chow
17315,borzoi
9429,cocker spaniel
9773,scotch terrier
20427,australian terrier
10218,norwegian elkhound
18184,dandie dinmont
540,flat-coated retriever
5086,great dane
29,english springer
8012,giant schnauzer
